Date,Open,High,Low,Close,Volume
20190428,1.11441,1.11516,1.11441,1.11494,8223
20190429,1.11494,1.11869,1.11450,1.11848,288517
20190430,1.11847,1.12290,1.11757,1.12157,324044
20190501,1.12157,1.12647,1.11870,1.12024,247110
20190502,1.12023,1.12190,1.11707,1.11729,306378
20190503,1.11728,1.12047,1.11350,1.12007,336863
20190505,1.11799,1.12003,1.11672,1.11846,21070
20190506,1.11846,1.12092,1.11790,1.12010,310785
20190507,1.12011,1.12178,1.11666,1.11895,345529
20190508,1.11893,1.12136,1.11827,1.11977,373869
20190509,1.11977,1.12509,1.11734,1.12184,414824
20190510,1.12185,1.12536,1.12177,1.12329,370674
20190512,1.12320,1.12408,1.12299,1.12357,11123
20190513,1.12358,1.12635,1.12191,1.12320,333825
20190514,1.12320,1.12439,1.12011,1.12032,316642
20190515,1.12031,1.12245,1.11779,1.12068,348113
20190516,1.12069,1.12238,1.11662,1.11731,334373
20190517,1.11730,1.11841,1.11551,1.11563,352378
20190519,1.11598,1.11666,1.11598,1.11646,9835
20190520,1.11646,1.11748,1.11506,1.11673,309569
20190521,1.11673,1.11880,1.11419,1.11643,337333
20190522,1.11643,1.11802,1.11485,1.11552,289874
20190523,1.11553,1.11875,1.11070,1.11841,373003
20190524,1.11841,1.12121,1.11771,1.12043,312093
20190526,1.12068,1.12068,1.12068,1.12068,3
20190527,1.12067,1.12151,1.11869,1.11934,195007
20190528,1.11933,1.11983,1.11592,1.11681,310854
20190529,1.11682,1.11724,1.11243,1.11366,359368
20190530,1.11365,1.11433,1.11160,1.11295,305017
20190531,1.11295,1.11797,1.11251,1.11678,418598
20190602,1.11607,1.11741,1.11607,1.11736,11833
20190603,1.11736,1.12619,1.11601,1.12457,378820
20190604,1.12458,1.12774,1.12267,1.12536,415461
20190605,1.12535,1.13065,1.12200,1.12286,403819
20190606,1.12286,1.13090,1.12008,1.12755,367021
20190607,1.12756,1.13477,1.12512,1.13334,351702
20190609,1.13220,1.13308,1.13143,1.13190,10822
20190610,1.13190,1.13243,1.12902,1.13179,323660
20190611,1.13179,1.13374,1.13013,1.13295,363144
20190612,1.13295,1.13434,1.12824,1.12924,379458
20190613,1.12924,1.13037,1.12683,1.12795,356733
20190614,1.12794,1.12891,1.12024,1.12050,347997
20190616,1.12089,1.12172,1.12088,1.12155,10061
20190617,1.12155,1.12470,1.12037,1.12242,246872
20190618,1.12244,1.12428,1.11813,1.11978,392508
20190619,1.11978,1.12542,1.11871,1.12357,326880
20190620,1.12357,1.13173,1.12351,1.12943,432716
20190621,1.12943,1.13777,1.12830,1.13679,411145
20190623,1.13695,1.13852,1.13662,1.13850,12608
20190624,1.13850,1.14039,1.13725,1.13991,297484
20190625,1.13993,1.14119,1.13442,1.13681,394651
20190626,1.13680,1.13913,1.13474,1.13735,343582
20190627,1.13734,1.13814,1.13477,1.13711,307003
20190628,1.13711,1.13933,1.13506,1.13681,278618
20190630,1.13595,1.13710,1.13581,1.13601,12351
20190701,1.13601,1.13640,1.12801,1.12868,306621
20190702,1.12868,1.13215,1.12751,1.12904,267607
20190703,1.12904,1.13123,1.12686,1.12873,263543
20190704,1.12873,1.12951,1.12731,1.12853,141239
20190705,1.12853,1.12860,1.12073,1.12235,260311
20190707,1.12215,1.12291,1.12215,1.12267,8316
20190708,1.12267,1.12344,1.12069,1.12151,214674
20190709,1.12150,1.12187,1.11933,1.12043,216618
20190710,1.12043,1.12643,1.12018,1.12583,280279
20190711,1.12585,1.12857,1.12451,1.12498,285534
20190712,1.12498,1.12748,1.12381,1.12698,254525
20190714,1.12666,1.12744,1.12626,1.12710,7203
20190715,1.12711,1.12838,1.12532,1.12597,215285
